source_id,source_label,source_url,accessed_at,http_status,access_status,page_title,content_bytes
wuhan_official,武汉市人民政府门户网站（来源：武汉市文化和旅游局官方微信号）,https://www.wuhan.gov.cn/zjwh/whrw/202602/t20260227_2732780.shtml,2026-08-19T02:39:14,200,可访问,大爆发！20+场演唱会官宣：武汉见 - 武汉市人民政府门户网站,154995
shanghai_schedule,上海8-9月演唱会排期表（腾讯新闻转载）,https://news.qq.com/rain/a/20250808A0470R00,2026-08-19T02:39:14,200,可访问,上海8-9月演唱会排期表_腾讯新闻,390191
hangzhou_schedule,杭州演唱会排期表（腾讯新闻转载）,https://news.qq.com/rain/a/20250809A03JX400,2026-08-19T02:39:14,200,可访问,审批通过！杭州新一批演唱会来啦！_腾讯新闻,788856
beijing_schedule,北京市9月演出预告（北京日报）,https://peking.bjd.com.cn/content/s68b64108e4b02424b0bf9f20.html,2026-08-19T02:39:14,200,可访问,北京市9月演出预告（9月1日-9月30日）：大型活动,135262
chengdu_schedule,成都10-11月演唱会排期表（腾讯新闻转载）,https://news.qq.com/rain/a/20251001A06R8N00,2026-08-19T02:39:14,200,可访问,最新官宣！成都10-11月演唱会排期表！_腾讯新闻,711597
xian_schedule,西安大型演出排期（腾讯新闻转载）,https://news.qq.com/rain/a/20251202A075U600,2026-08-19T02:39:14,200,可访问,官宣！西安大型演唱会再上新！_腾讯新闻,461622
guangzhou_collection,2025广州演唱会公开活动汇总（Trip.com）,https://hk.trip.com/events/3372034-2025-guangzhou-concerts-collection,2026-08-19T02:39:14,200,可访问,2025 廣州演唱會：日期、行程和門票價格（8月更新） | Trip.com,353246
shenzhen_collection,2025深圳演唱会公开活动汇总（Trip.com）,https://hk.trip.com/events/3372020-2025-shenzhen-concerts-collection,2026-08-19T02:39:14,200,可访问,2025 深圳演唱會：日期、行程和門票價格（8月更新） | Trip.com,357756
nanjing_collection,2025南京演唱会公开活动汇总（Trip.com）,https://hk.trip.com/events/3372370-2025-nanjing-concerts-collection,2026-08-19T02:39:14,200,可访问,2025 南京演唱會：日期、行程和門票價格（8月更新） | Trip.com,357779
