artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
Deep Water,Deep Water「此时恰好 Have A Good Time Vol.2」2026秋季巡演·北京站,北京,乐空间,2026-09-05 20:30,80 / 100,待定,爬虫采集,https://www.showstart.com/event/306408,2026-08-31
余枫 / 曹寅,独家 十二回响 · 余枫个人演唱会·北京特别生日场,北京,疆进酒·OMNI SPACE（北京）,2026-09-06 19:00,380,待定,爬虫采集,https://www.showstart.com/event/305929,2026-08-31
,琴弦上的肖邦与舒伯特——大提琴&钢琴二重奏音乐会,北京,国图艺术中心,2026-09-06 19:30,68 / 108 / 168 / 180 / 228 / 250 / 280 / 350 / 380 / 500,待定,爬虫采集,https://www.showstart.com/event/304368,2026-08-31
鞠红川,独家 “川行 ”2026鞠红川个人音乐会北京站,北京,蛙厂RMMF·北京798店,2026-09-06 19:30,126 / 180 / 196 / 266 / 280 / 336 / 380 / 480,待定,爬虫采集,https://www.showstart.com/event/300982,2026-08-31
,【蓝色多瑙河圆舞曲】纪念维也纳“圆舞曲之王”小约翰·施特劳斯经典作品交响音乐会,北京,五棵松·爱乐汇艺术空间·都市音乐厅,2026-09-06 19:30,80 / 100 / 108 / 168 / 180 / 228 / 280 / 288 / 380 / 480,待定,爬虫采集,https://www.showstart.com/event/305320,2026-08-31
梦FM,梦飞船2026「守护·星」演唱会北京站,北京,瓦肆 VAS centra,2026-09-06 19:30,258 / 328 / 428 / 528 / 628,待定,爬虫采集,https://www.showstart.com/event/307074,2026-08-31
icyball冰球乐团,独家 icyball冰球乐团 2026「我很抱歉」巡演 北京场,北京,MAO Livehouse北京（东郎店）,2026-09-09 20:00,158 / 178 / 208,待定,爬虫采集,https://www.showstart.com/event/302701,2026-08-31
,【北京】《我相信》籁之音极光男声合唱团流行经典歌曲合唱音音乐会,北京,北京音乐厅,2026-09-10 19:30,100 / 126 / 196 / 266 / 480,待定,爬虫采集,https://www.showstart.com/event/305159,2026-08-31
Molly Nilsson,独家 Molly Nilsson 巡演｜柏林合成器流行女王的东方之约 北京站,北京,福浪LIVEHOUSE-浪,2026-09-10 20:30,168 / 188 / 218,待定,爬虫采集,https://www.showstart.com/event/304608,2026-08-31
,无限琴韵·桂冠回响-手风琴世界冠军Radu Ratoi拉杜·拉托伊音乐会 北京站,北京,五棵松·爱乐汇艺术空间·都市音乐厅,2026-09-11 19:30,100 / 126 / 196 / 266,待定,爬虫采集,https://www.showstart.com/event/303151,2026-08-31
陈昊然,「Beats by IJAPA」陈昊然×郭子翔 Live Beat Session,北京,三里屯-爱乐汇艺术空间-时空剧场,2026-09-11 19:30,180 / 224 / 304,待定,爬虫采集,https://www.showstart.com/event/308044,2026-08-31
乌兰图雅,独家 花开四季~心路歌者乌兰图雅演唱会专场,北京,北京展览馆剧场,2026-09-11 19:30,380 / 580 / 780,待定,爬虫采集,https://www.showstart.com/event/302177,2026-08-31
死水微澜,独家 死水微澜「山的那边」2026夏季巡演 北京站,北京,福浪LIVEHOUSE-浪,2026-09-11 20:00,99 / 109 / 129,待定,爬虫采集,https://www.showstart.com/event/305209,2026-08-31
eli's ladder,独家 波兰emo/盯鞋乐队 Eli’s Ladder 巡演北京站,北京,乐空间,2026-09-11 20:00,168 / 316,待定,爬虫采集,https://www.showstart.com/event/304924,2026-08-31
Trace Bundy（崔斯-班迪）,独家 Trace Bundy 2004-2026黄金时代《Adapt》指弹吉他音乐会 北京站,北京,黄昏黎明DDC,2026-09-11 20:00,180 / 280,待定,爬虫采集,https://www.showstart.com/event/299658,2026-08-31
NOUMENA / 生命之血Blood of Life,独家 Noumena乐队2026“地海边缘”巡演 北京站,北京,魅现场,2026-09-11 20:00,168 / 198 / 238 / 358,待定,爬虫采集,https://www.showstart.com/event/302720,2026-08-31
许巍 / 安燊 / 贰佰 / 二手玫瑰乐队 / 棱镜 / 霓虹花园 / 沈以诚 / 亚森 / 左卓,橙风岛X奥莉兔音乐节,北京,北京音乐产业园,2026-09-12 13:30,99 / 388 / 588 / 688,待定,爬虫采集,https://www.showstart.com/event/307581,2026-08-31
,克罗地亚狂想曲一一罗伯托 •奥尔比亚摇滚钢琴音乐会,北京,北京世纪剧院,2026-09-12 19:30,80 / 144 / 224 / 304,待定,爬虫采集,https://www.showstart.com/event/305259,2026-08-31
王朝1982,王朝1982【东海听潮】2026巡回演唱会-北京站,北京,蛙厂RMMF·北京798店,2026-09-12 19:30,199 / 299 / 399,待定,爬虫采集,https://www.showstart.com/event/306826,2026-08-31
TC,独家 TC 2026「无始无终」 巡演北京站,北京,疆进酒·OMNI SPACE（北京）,2026-09-12 20:00,148 / 188 / 268,待定,爬虫采集,https://www.showstart.com/event/301906,2026-08-31
