artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
,[广州]Jony J2026「本命」巡演,广州,CH8蛙厂演艺中心(大学城店),2026.09.27 20:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/780939,2026-08-31
宁波·电玩次元夏日游戏节,[宁波]宁波·电玩次元夏日游戏节,宁波,,2026.09.25-09.27 TT城市运动中心,,待定,爬虫采集,https://www.piaoniu.com/activity/783966,2026-08-31
百老汇经典摇滚 音乐剧 （海德薇）中文版,[宁波]百老汇经典摇滚 音乐剧《HEDWIG》（海德薇）中文版,宁波,,2026.11.13-11.14 宁波大剧院,,待定,爬虫采集,https://www.piaoniu.com/activity/781301,2026-08-31
ROYAL汽车飘移赛,[宁波]2026ROYAL汽车飘移赛,宁波,宁波国际赛道,2026.09.05 -,,预售中,爬虫采集,https://www.piaoniu.com/activity/784734,2026-08-31
京味儿大戏-老舍经典话剧,[宁波]京味儿大戏-老舍经典话剧《茶馆》,宁波,19:30 宁波大剧院,2026.11.22 周日,,待定,爬虫采集,https://www.piaoniu.com/activity/781327,2026-08-31
维也纳皇家爱乐乐团新年,[宁波]维也纳皇家爱乐乐团新年音乐会,宁波,19:30 宁波大剧院大剧场,2026.12.27 周日,,待定,爬虫采集,https://www.piaoniu.com/activity/782165,2026-08-31
维也纳施特劳斯乐团 新年,[宁波]维也纳施特劳斯乐团2027新年音乐会,宁波,19:30 宁波大剧院-大剧场,2027.01.01 周五,,待定,爬虫采集,https://www.piaoniu.com/activity/780983,2026-08-31
曹禺经典话剧,[宁波] 曹禺经典话剧《雷雨》,宁波,19:30 宁波逸夫剧院,2026.09.26 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/781011,2026-08-31
经典电影名曲,[宁波]《LALALAND爱乐之城》经典电影名曲音乐会,宁波,宁波逸夫剧院,2026.09.25 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/779836,2026-08-31
,[宁波]【2026茧·声演出季】越剧《玉蜻蜓》,宁波,19:30 宁波文化广场大剧院,2026.10.10 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/781331,2026-08-31
,[宁波]【2026茧·声演出季】现象级原版音乐剧《SIX》,宁波,,2026.11.12-11.15 宁波文化广场大剧院,,待定,爬虫采集,https://www.piaoniu.com/activity/782765,2026-08-31
徐良时间折叠,[郑州][代拍费]徐良时间折叠巡回演唱会,郑州,,演出筹备中，时间待定 场馆待定,,预售中,爬虫采集,https://www.piaoniu.com/activity/772164,2026-08-31
喀秋莎俄罗斯远东国家歌舞团大型歌舞晚会 来华,[苏州]喀秋莎俄罗斯远东国家歌舞团大型歌舞晚会2026来华巡演苏州站,苏州,,2026.10.03 苏州第二工人文化宫聚橙剧院,,待定,爬虫采集,https://www.piaoniu.com/activity/780563,2026-08-31
喀秋莎俄罗斯远东国家歌舞团大型歌舞晚会,[深圳]喀秋莎俄罗斯远东国家歌舞团大型歌舞晚会,深圳,19:30 深圳华夏艺术中心,2026.10.06 周二,,待定,爬虫采集,https://www.piaoniu.com/activity/780540,2026-08-31
戴敦邦沉浸式国风艺术展｜戴敦邦艺术馆首展,[上海]《且看宋词》戴敦邦沉浸式国风艺术展｜戴敦邦艺术馆首展,上海,,2026.07.09-10.08 戴敦邦艺术馆,,待定,爬虫采集,https://www.piaoniu.com/activity/782423,2026-08-31
国家大剧院管弦乐团 /27乐季开幕 大地之歌吕嘉、李立宏、安娜·韦勒、西蒙·奥尼,[北京]国家大剧院管弦乐团2026/27乐季开幕 大地之歌吕嘉、李立宏、安娜·韦勒、西蒙·奥尼尔与国家大剧院管弦乐团演绎马勒音乐会-2026醇·萃古典,北京,国家大剧院&mdash;&mdash;音乐厅,2026.09.26 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/784195,2026-08-31
